Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0016907,0.032125,0.19418,0,0,0,72.846,2.302,-0.03605,0.00032487,1.8691,0.078265,2.3429,0,0,0,0,0,0,package://kuka_urdf/meshes/base_link.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://kuka_urdf/meshes/base_link.STL,,base_1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.10281,0.16295,-0.04371,0,0,0,0.060324,0.3612,-0.15272,0.0057834,0.64633,0.027501,0.64395,0,0,0,0,0,0,package://kuka_urdf/meshes/link1.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://kuka_urdf/meshes/link1.STL,,Body_1.1-1,Origin_joint1,Axis_joint1,joint1,continuous,0,-0.00999999999999998,0.367,1.5707963267949,0,-0.0844304651404737,base_link,0,1,0,100,1,-3.14,3.14,,,,,,,,
link2,0.0031954,0.2939,0.15509,0,0,0,0.060324,0.5933,-0.00066775,0.00021305,0.05916,-0.025976,0.59313,0,0,0,0,0,0,package://kuka_urdf/meshes/link2.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://kuka_urdf/meshes/link2.STL,,lower arm 1-1,Origin_joint2,Axis_joint2,joint2,continuous,0.2751402982579,0.270669215850882,0,0,0,1.09776733459367,link1,0,0,1,100,1,-3.14,3.14,,,,,,,,
link3,-0.10843,-0.017483,0.016693,0,0,0,0.060324,0.062243,-0.0082918,0.021613,0.44311,0.0044393,0.45559,0,0,0,0,0,0,package://kuka_urdf/meshes/link3.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://kuka_urdf/meshes/link3.STL,,upper arm 1-1,Origin_joint3,Axis_joint3,joint3,continuous,0.00300600653973404,0.670462499033651,0,3.14159265358979,0,2.17118981711903,link2,0,0,1,100,1,-3.14,3.14,,,,,,,,
link4,0.0067406,0.13614,0.00014607,0,0,0,0.060324,0.013835,-0.0012724,-7.8237E-06,0.0043138,1.8805E-06,0.01404,0,0,0,0,0,0,package://kuka_urdf/meshes/link4.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://kuka_urdf/meshes/link4.STL,,P2.1-2,Origin_joint4,Axis_joint4,joint4,continuous,-0.44629918087112,-0.0224999999999995,0.032999999999999,3.14159265358979,1.28637430236672,-1.5707963267949,link3,0,1,0,100,1,-3.14,3.14,,,,,,,,
link5,-0.014805,1.0738E-06,0.055373,0,0,0,0.060324,0.0054886,-6.1639E-07,0.00016939,0.011318,-6.3E-07,0.0086777,0,0,0,0,0,0,package://kuka_urdf/meshes/link5.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://kuka_urdf/meshes/link5.STL,,wrist.-1,Origin_joint5,Axis_joint5,joint5,continuous,0,0.220200819128881,0,1.50631561095374,0,-3.14159265358979,link4,1,0,0,100,1,-3.14,3.14,,,,,,,,
link6,1.8876E-08,0.084587,1.1305E-08,0,0,0,0.060324,8.7492E-05,-1.5672E-12,-6.3502E-10,0.00012957,-1.0119E-12,8.7493E-05,0,0,0,0,0,0,package://kuka_urdf/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://kuka_urdf/meshes/link6.STL,,jaw gripper assembly-2,Origin_joint6,Axis_joint6,joint6,continuous,-0.0159999999999904,0,0.161511009128483,1.5707963267949,0,-0.91580856418439,link5,0,1,0,100,1,-3.14,3.14,,,,,,,,
link7,-4.4409E-16,0.019112,1.1102E-16,0,0,0,0.060324,5.9908E-05,1.1964E-19,-5.0822E-21,3.092E-05,-1.8624E-19,5.9908E-05,0,0,0,0,0,0,package://kuka_urdf/meshes/link7.STL,0.21961,0.33333,1,1,0,0,0,0,0,0,package://kuka_urdf/meshes/link7.STL,,end effector 1-1,Origin_joint7,Axis_joint7,joint7,fixed,0,0.0343289908715182,0,-3.14159265358978,-1.24624974571635,3.14159265358977,link6,0,0,0,,,,,,,,,,,,
tableBase,0,-0.079293,1.1486E-17,0,0,0,22.655,0.52204,3.0392E-17,-1.1033E-17,0.43516,1.0371E-17,0.23349,0,0,0,0,0,0,package://kuka_urdf/meshes/tableBase.STL,0.11373,0.11373,0.11373,1,0,0,0,0,0,0,package://kuka_urdf/meshes/tableBase.STL,,tableBase-1,Origin_tableJointBase,,tableJointBase,fixed,1,-0.01,0.21,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
tabelLink1,0,0.030302,1.8336E-16,0,0,0,0.060324,0.062419,1.2666E-17,1.0072E-17,0.05928,-2.8778E-17,0.057372,0,0,0,0,0,0,package://kuka_urdf/meshes/tabelLink1.STL,1,1,1,1,0,0,0,0,0,0,package://kuka_urdf/meshes/tabelLink1.STL,,tableLink1-1,Origin_tableJoint1,Axis_tableJoint1,tableJoint1,continuous,0,0,0,0,0,0,tableBase,0,0,1,,,,,,,,,,,,
